Symbol,Name,Last,Change,%Chg,Volume,"Price Vol",Time
TSLA,"Tesla Inc",316.06,10.76,+3.52%,148227016,46848630.67696,2025-07-25
NVDA,"Nvidia Corp",173.5,-0.24,-0.14%,122316797,21221964.2795,2025-07-25
MSFT,"Microsoft Corp",513.71,2.83,+0.55%,19125699,9825062.83329,2025-07-25
PLTR,"Palantir Technologies Inc Cl A",158.8,3.94,+2.54%,57972301,9206001.3988,2025-07-25
AMD,"Adv Micro Devices",166.47,4.35,+2.68%,53432203,8894858.83341,2025-07-25
AAPL,"Apple Inc",213.88,0.12,+0.06%,40268699,8612669.34212,2025-07-25
GOOGL,"Alphabet Cl A",193.18,1.01,+0.53%,39785801,7685821.03718,2025-07-25
AMZN,"Amazon.com Inc",231.44,-0.79,-0.34%,28712000,6645105.28,2025-07-25
GOOG,"Alphabet Cl C",194.08,0.88,+0.46%,31101801,6036237.53808,2025-07-25
META,"Meta Platforms Inc",712.68,-2.12,-0.30%,8271600,5895003.888,2025-07-25
INTC,"Intel Corp",20.7,-1.93,-8.53%,245077609,5073106.5063,2025-07-25
TRI,"Thomson Reuters Corp",203.45,-2.09,-1.02%,23377400,4756132.03,2025-07-25
UNH,"Unitedhealth Group Inc",281.06,2.48,+0.89%,16486600,4633723.796,2025-07-25
HOOD,"Robinhood Markets Inc Cl A",104.85,2.92,+2.86%,35637801,3736623.43485,2025-07-25
AVGO,"Broadcom Ltd",290.18,1.47,+0.51%,12476199,3620343.42582,2025-07-25
MSTR,"Strategy Inc",405.89,-9.03,-2.18%,8380199,3401438.97211,2025-07-25
COIN,"Coinbase Global Inc Cl A",391.66,-5.04,-1.27%,8643300,3385234.878,2025-07-25
NFLX,"Netflix Inc",1180.49,-0.27,-0.02%,2629200,3103744.308,2025-07-25
CHTR,"Charter Communications Inc",309.75,-70.25,-18.49%,9638000,2985370.5,2025-07-25
TSM,"Taiwan Semiconductor ADR",245.6,4,+1.66%,11593300,2847314.48,2025-07-25
HIMS,"Hims & Hers Health Inc",57.65,0.33,+0.58%,46347000,2671904.55,2025-07-25
LLY,"Eli Lilly and Company",812.69,7.2600000000001,+0.90%,2976800,2419215.592,2025-07-25
GEV,"GE Vernova Inc",644.59,20.62,+3.30%,3604400,2323360.196,2025-07-25
BRK.B,"Berkshire Hathaway Cl B",484.07,3.47,+0.72%,4220500,2043017.435,2025-07-25
NEM,"Newmont Mining Corp",65.75,4.24,+6.89%,30913500,2032562.625,2025-07-25
IBM,"Intl Business Machines",259.72,-0.79,-0.30%,7758600,2015063.592,2025-07-25
TMO,"Thermo Fisher Scientific Inc",478.32,3.29,+0.69%,4205500,2011574.76,2025-07-25
NOW,"Servicenow Inc",968.79,-27.39,-2.75%,1999600,1937192.484,2025-07-25
SMCI,"Super Micro Computer",54.47,1.95,+3.71%,34308402,1868778.65694,2025-07-25
UNP,"Union Pacific Corp",224.74,4.22,+1.91%,8254800,1855183.752,2025-07-25
MU,"Micron Technology",111.26,-0.47,-0.42%,16372300,1821582.098,2025-07-25
CNC,"Centene Corp",28.39,1.63,+6.09%,63491700,1802529.363,2025-07-25
DECK,"Deckers Outdoor Corp",116.85,11.91,+11.35%,15343300,1792864.605,2025-07-25
JPM,"JP Morgan Chase & Company",298.62,2.07,+0.70%,5918800,1767472.056,2025-07-25
ORCL,"Oracle Corp",245.12,2.29,+0.94%,7149500,1752485.44,2025-07-25
COST,"Costco Wholesale",935.48,1.68,+0.18%,1827600,1709683.248,2025-07-25
ASML,"Asml Holdings NY Reg ADR",711.25,-13.83,-1.91%,2312000,1644410,2025-07-25
CMG,"Chipotle Mexican Grill",46.76,1.02,+2.23%,33814900,1581184.724,2025-07-25
LIDR,"Aeye Inc",4.43,1.51,+51.88%,331585688,1468924.59784,2025-07-25
OKLO,"Oklo Inc",75.5,0.91,+1.22%,18541200,1399860.6,2025-07-25
V,"Visa Inc",357.04,3.07,+0.87%,3915700,1398061.528,2025-07-25
ELV,"Elevance Health Inc",289.1,8.67,+3.09%,4808000,1389992.8,2025-07-25
